Name,Link
Magnezone,https://i.imgur.com/7cbX9K9.png
Mamoswine,https://i.imgur.com/X0CrHh3.png
Manaphy,https://i.imgur.com/ZJktITO.png
Mantine,https://i.imgur.com/wUg6kL7.png
Mantyke,https://i.imgur.com/5kmr7o9.png
Mesprit,https://i.imgur.com/h8nVhDa.png
Mime Jr.,https://i.imgur.com/jAL0Zur.png
Misdreavus,https://i.imgur.com/8cCeMuA.png
Mismagius,https://i.imgur.com/hAZtQ7D.png
Monferno,https://i.imgur.com/Qt3rFPD.png
Mothim,https://i.imgur.com/l7zQc05.png
Mr. Mime,https://i.imgur.com/L9xnMdJ.png
Munchlax,https://i.imgur.com/lQCYs0P.png
Murkrow,https://i.imgur.com/39FNUVE.png
Ninetails,https://i.imgur.com/epD8Yje.png
Nosepass,https://i.imgur.com/0TdrmEt.png
Octillery,https://i.imgur.com/dyPCWmV.png
Onix,https://i.imgur.com/u8Hfy3d.png
Oshawott,https://i.imgur.com/pZSNPAV.png
Overqwil,https://i.imgur.com/p4XwvOr.png
Pachirisu,https://i.imgur.com/qFNKANe.png
Palkia,https://i.imgur.com/XkMJArA.png
Paras,https://i.imgur.com/ZLN5iVU.png
Parasect,https://i.imgur.com/Vp5T3Fs.png
Petilil,https://i.imgur.com/WOG2u7E.png
Phione,https://i.imgur.com/mtAFbUj.png
Pichu,https://i.imgur.com/Sc5AqlS.png
Pikachu,https://i.imgur.com/aOXNlhZ.png
Piloswine,https://i.imgur.com/8IECldJ.png
Piplup,https://i.imgur.com/IGANSs5.png
Ponyta,https://i.imgur.com/b6GdNQh.png
Porygon,https://i.imgur.com/jPUPu5R.png
Porygon-Z,https://i.imgur.com/X1w70CD.png
Porygon2,https://i.imgur.com/FvvzurF.png
Prinplup,https://i.imgur.com/gK34fWd.png
Probopass,https://i.imgur.com/MK2vK1G.png
Psyduck,https://i.imgur.com/FpS2qCY.png
Purugly,https://i.imgur.com/rwUf4ee.png
Quilava,https://i.imgur.com/u2OB3qK.png
Qwilfish,https://i.imgur.com/WWKAzz5.png
Raichu,https://i.imgur.com/YEDjLZG.png
Ralts,https://i.imgur.com/TZqp5pG.png
Rampardos,https://i.imgur.com/M1I1Ltb.png
Rapidash,https://i.imgur.com/vow6qAB.png
Regigigas,https://i.imgur.com/fzLIITG.png
Remoraid,https://i.imgur.com/sDdgH26.png
Rhydon,https://i.imgur.com/SD52jv0.png
Rhyhorn,https://i.imgur.com/1GVDTbM.png
Rhyperior,https://i.imgur.com/1jsgVtW.png
Riolu,https://i.imgur.com/3s7WdLI.png
Roselia,https://i.imgur.com/Ozb6c4d.png
Roserade,https://i.imgur.com/txy6Uqk.png
Rotom,https://i.imgur.com/Ve1KffJ.png
Rowlet,https://i.imgur.com/2XYSJhf.png
Rufflet,https://i.imgur.com/FUlZPyd.png
Samurott,https://i.imgur.com/nmT6ro1.png
Scizor,https://i.imgur.com/iuXKlCi.png
Scyther,https://i.imgur.com/ZrqjG7N.png
Sealeo,https://i.imgur.com/BMn7eMB.png
Shaymin,https://i.imgur.com/3eJJOZA.png
Shellos,https://i.imgur.com/1VSc1CM.png
Shieldon,https://i.imgur.com/mhM38sO.png
Shinx,https://i.imgur.com/kueOBdr.png
Silcoon,https://i.imgur.com/2MsmOnm.png
Skorupi,https://i.imgur.com/VOt4PQd.png
Skuntank,https://i.imgur.com/aXb1iMn.png
Sliggoo,https://i.imgur.com/szFdQu8.png
Sneasel ,https://i.imgur.com/Q7PJkjk.png
Sneasler,https://i.imgur.com/wkN9Ocn.png
Snorlax,https://i.imgur.com/Qta2qfz.png
Snorunt,https://i.imgur.com/Bkl1tHP.png
Snover,https://i.imgur.com/bnVeEJU.png
Spheal,https://i.imgur.com/gKrcO1l.png
Spiritomb,https://i.imgur.com/tmzpLiA.png
Stantler,https://i.imgur.com/wJA5n1m.png
Staraptor,https://i.imgur.com/t3jsp5g.png
